Title,AlternativeTitle,Genre,MovieDuration,ReleaseYear,MoviemeterRank,MoviemeterRating,IMDbRank,IMDbRating
Pirates of the Caribbean: The Curse of the Black Pearl,,"Action, Adventure",143 minutes,2003,101,3.89,229,8.1
Hotel Rwanda,,"Drama, War",121 minutes,2004,102,3.89,213,8.1
Mary and Max,,"Animation, Drama",93 minutes,2009,103,3.89,205,8.1
L.A. Confidential,,"Crime, Thriller",138 minutes,1997,106,3.88,119,8.2
Warrior,,"Drama, Sport",140 minutes,2011,107,3.88,172,8.1
Judgment at Nuremberg,Judgement at Nuremberg,"Drama, War",186 minutes,1961,109,3.88,136,8.3
Shutter Island,,"Mystery, Thriller",138 minutes,2010,114,3.87,141,8.2
The Sixth Sense,,"Thriller, Mystery",107 minutes,1999,115,3.87,143,8.2
Eternal Sunshine of the Spotless Mind,,"Romance, Scifi",108 minutes,2004,117,3.87,93,8.3
The Wolf of Wall Street,,"Biography, Comedy",180 minutes,2013,118,3.87,132,8.2
Harry Potter and the Deathly Hallows: Part 2,Harry Potter en de Relieken van de Dood: Deel 2,"Fantasy, Adventure",130 minutes,2011,119,3.87,178,8.1
"Three Billboards Outside Ebbing, Missouri",,"Crime, Drama",115 minutes,2017,121,3.87,168,8.1
Witness for the Prosecution,,"Crime, Drama",116 minutes,1957,123,3.87,66,8.4
Capharnaüm,Capernaum,Drama,126 minutes,2018,124,3.87,89,8.4
Ikiru,Doomed,Drama,143 minutes,1952,125,3.87,97,8.3
La Haine,Hate,"Drama, Crime",98 minutes,1995,127,3.86,225,8.1
Whiplash,,"Drama, Music",107 minutes,2014,128,3.86,41,8.5
Oppenheimer,,"Biography, Drama",180 minutes,2023,130,3.86,43,8.6
The Big Lebowski,,Comedy,117 minutes,1998,134,3.85,209,8.1
A Beautiful Mind,,"Biography, Drama",135 minutes,2001,135,3.85,146,8.2
Aliens,,"Scifi, Action",137 minutes,1986,140,3.85,68,8.4
Paths of Glory,,"War, Drama",88 minutes,1957,144,3.85,62,8.4
Toy Story 3,,"Animation, Comedy",103 minutes,2010,149,3.84,90,8.3
The Third Man,The 3rd Man,"Filmnoir, Thriller",104 minutes,1949,154,3.84,196,8.1
Fargo,,"Crime, Comedy",98 minutes,1996,160,3.83,171,8.1
Good Will Hunting,,Drama,126 minutes,1997,161,3.83,82,8.3
The Thing,John Carpenter's The Thing,"Horror, Scifi",109 minutes,1982,165,3.83,153,8.2
Raging Bull,,"Biography, Sport",129 minutes,1980,166,3.83,162,8.1
Lawrence of Arabia,Lawrence van Arabië,"Adventure, Biography",210 minutes,1962,167,3.83,98,8.3
La Battaglia di Algeri,The Battle of Algiers,"Drama, War",121 minutes,1966,172,3.83,237,8.1
Die Hard,,"Action, Thriller",131 minutes,1988,174,3.82,118,8.2
Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure",115 minutes,1981,176,3.82,58,8.4
Star Wars,Star Wars: Episode IV - A New Hope,"Fantasy, Scifi",121 minutes,1977,177,3.82,29,8.6
Star Wars: Episode VI - Return of the Jedi,,"Fantasy, Scifi",134 minutes,1983,178,3.82,92,8.3
The Best Years of Our Lives,De Beste Jaren van Ons Leven,"Drama, War",172 minutes,1946,184,3.82,224,8.1
Back to the Future,Terug naar de Toekomst,"Scifi, Comedy",116 minutes,1985,186,3.81,31,8.5
2001: A Space Odyssey,2001: Een Zwerftocht in de Ruimte,"Scifi, Adventure",161 minutes,1968,188,3.81,94,8.3
Oldeuboi,Oldboy,"Drama, Crime",120 minutes,2003,189,3.81,73,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove,"Comedy, War",95 minutes,1964,190,3.81,72,8.4
Chinatown,,Mystery,131 minutes,1974,192,3.81,157,8.2
The Grapes of Wrath,,Drama,129 minutes,1940,194,3.81,236,8.1
No Country for Old Men,,"Crime, Thriller",122 minutes,2007,197,3.8,149,8.2
Million Dollar Baby,,"Drama, Sport",132 minutes,2004,200,3.8,176,8.1
Ben-Hur,Ben Hur,"Adventure, History",212 minutes,1959,201,3.8,185,8.1
Persona,,Drama,85 minutes,1966,206,3.8,247,8.1
The Truman Show,,"Drama, Comedy",103 minutes,1998,212,3.79,137,8.2
Jurassic Park,Jurassic Park 3D,"Adventure, Scifi",127 minutes,1993,213,3.79,145,8.2
Indiana Jones and the Last Crusade,,"Action, Adventure",127 minutes,1989,218,3.79,116,8.2
The Elephant Man,,"Drama, Biography",124 minutes,1980,221,3.79,156,8.2
Incendies,,"Drama, Mystery",131 minutes,2010,223,3.79,109,8.3
Coco,,"Animation, Adventure",109 minutes,2017,226,3.79,74,8.4
The Sting,,"Crime, Comedy",129 minutes,1973,227,3.79,114,8.3
Tonari no Totoro,My Neighbor Totoro,"Animation, Fantasy",86 minutes,1988,228,3.79,175,8.1
The Apartment,,"Romance, Comedy",125 minutes,1960,229,3.79,101,8.3
To Be or Not to Be,,"Comedy, War",99 minutes,1942,231,3.79,231,8.2
Batman Begins,,"Action, Crime",140 minutes,2005,232,3.78,129,8.2
Room,,Drama,118 minutes,2015,235,3.78,207,8.1
The Help,,Drama,146 minutes,2011,236,3.78,245,8.1
The Great Dictator,De Dictator,"Comedy, War",125 minutes,1940,237,3.78,65,8.4
Dial M for Murder,U Spreekt met Uw Moordenaar,"Thriller, Crime",105 minutes,1954,238,3.78,159,8.2
